19:15560662-15560862	#WIZ, ratio=0.0016936
7:28219975-28220175	#JAZF1-AS1, ratio=0.0376559
6:91006527-91006727	#BACH2, ratio=0.0377082
21:38338856-38339056	#HLCS, ratio=0.038046
1:9352840-9353040	#SPSB1, ratio=0.0380822
19:44143891-44144091	#CADM4, ratio=0.0389463
2:234263052-234263252	#DGKD, ratio=0.0391634
11:6676974-6677174	#DCHS1, ratio=0.0393835
2:48756963-48757163	#STON1-GTF2A1L, ratio=0.0395986
12:56136963-56137163	#GDF11, ratio=0.0400194
1:38471087-38471287	#FHL3, ratio=0.0400865
14:102976028-102976228	#ANKRD9, ratio=0.040667
17:42836467-42836667	#ADAM11, ratio=0.0408513
6:168227570-168227770	#MLLT4, ratio=0.0412115
19:36208820-36209020	#MLL4, ratio=0.0413063
17:60556285-60556485	#TLK2, ratio=0.0414646
1:15850840-15851040	#CASP9, ratio=0.0415985
2:32235598-32235798	#MEMO1, ratio=0.0423233
1:11714813-11715013	#FBXO44, ratio=0.0425671
2:88751953-88752153	#FOXI3, ratio=0.0428733
1:23810650-23810850	#ASAP3, ratio=0.0429572
1:60280432-60280632	#HOOK1, ratio=0.0429727
1:224621901-224622101	#WDR26, ratio=0.0430957
19:51071202-51071402	#LRRC4B, ratio=0.0432964
15:56535383-56535583	#RFX7, ratio=0.0434498
X:149861768-149861968	#MTMR1, ratio=0.0441598
1:24829286-24829486	#RCAN3, ratio=0.0444872
12:56101586-56101786	#ITGA7, ratio=0.0446109
7:64498631-64498831	#CCT6P3, ratio=0.0446591
11:111473069-111473269	#SIK2, ratio=0.0451272
16:16043333-16043533	#ABCC1, ratio=0.0454666
12:3186420-3186620	#TSPAN9, ratio=0.0457644
X:153665158-153665358	#GDI1, ratio=0.0466294
9:138371547-138371747	#PPP1R26, ratio=0.0474089
20:35974456-35974656	#SRC, ratio=0.0483185
X:152953651-152953851	#SLC6A8, ratio=0.0486086
10:28822320-28822520	#WAC, ratio=0.0488992
12:118498851-118499051	#WSB2, ratio=0.0490935
1:164528496-164528696	#PBX1, ratio=0.0491594
19:6279859-6280059	#MLLT1, ratio=0.0493084
18:9614500-9614700	#PPP4R1, ratio=0.049878
17:6459777-6459977	#PITPNM3, ratio=0.0500506
X:152907796-152907996	#DUSP9, ratio=0.0504799
22:23412568-23412768	#GNAZ, ratio=0.050539
4:125633787-125633987	#ANKRD50, ratio=0.0506552
10:15210595-15210795	#NMT2, ratio=0.0507921
4:79697431-79697631	#BMP2K, ratio=0.0512923
15:32322585-32322785	#CHRNA7, ratio=0.0514596
1:160175024-160175224	#PEA15, ratio=0.051921
11:77185008-77185208	#PAK1, ratio=0.051942
19:8274116-8274316	#CERS4, ratio=0.0519824
17:30186226-30186426	#C17orf79, ratio=0.0520721
11:72353404-72353604	#PDE2A, ratio=0.0520797
17:65821679-65821879	#BPTF, ratio=0.05208
13:37494309-37494509	#SMAD9, ratio=0.0521318
9:138798905-138799105	#CAMSAP1, ratio=0.052527
1:11714788-11714988	#FBXO2, ratio=0.0526164
17:66453553-66453753	#WIPI1, ratio=0.0526532
21:45875292-45875492	#LRRC3, ratio=0.0530979
20:42543391-42543591	#TOX2, ratio=0.053211
5:171881427-171881627	#SH3PXD2B, ratio=0.0534916
1:21978248-21978448	#RAP1GAP, ratio=0.0536023
6:99395749-99395949	#FBXL4, ratio=0.0538664
5:114632358-114632558	#CCDC112, ratio=0.0540319
1:61547879-61548079	#NFIA, ratio=0.0541315
21:45285015-45285215	#AGPAT3, ratio=0.0545751
4:1723116-1723316	#TACC3, ratio=0.0547065
15:34729567-34729767	#GOLGA8A, ratio=0.055361
3:182698226-182698426	#DCUN1D1, ratio=0.0556226
5:612304-612504	#CEP72, ratio=0.0556654
22:21871680-21871880	#PI4KAP2, ratio=0.0560902
19:2164047-2164247	#DOT1L, ratio=0.0562681
19:50354833-50355033	#LOC100506033, ratio=0.0562987
12:57916558-57916758	#MBD6, ratio=0.0568095
17:5973833-5974033	#WSCD1, ratio=0.0568376
20:388608-388808	#RBCK1, ratio=0.0569814
12:51611377-51611577	#POU6F1, ratio=0.05736
1:9294762-9294962	#H6PD, ratio=0.0575684
21:44846902-44847102	#SIK1, ratio=0.0582935
X:134232633-134232833	#LINC00087, ratio=0.0585326
2:161350218-161350418	#RBMS1, ratio=0.0586324
1:16085154-16085354	#FBLIM1, ratio=0.0587023
2:109150710-109150910	#LIMS1, ratio=0.0587676
12:19592507-19592707	#AEBP2, ratio=0.0588585
17:79869240-79869440	#PCYT2, ratio=0.0592434
9:110251947-110252147	#KLF4, ratio=0.0596701
19:54466189-54466389	#CACNG8, ratio=0.0598066
9:139137587-139137787	#QSOX2, ratio=0.059852
17:36904458-36904658	#PCGF2, ratio=0.0598636
22:43045305-43045505	#CYB5R3, ratio=0.0600762
8:145321416-145321616	#SCXA, ratio=0.0600891
8:145321416-145321616	#SCXB, ratio=0.0600891
5:38556648-38556848	#LIFR, ratio=0.0601953
18:24765189-24765389	#CHST9, ratio=0.060398
3:52567693-52567893	#NT5DC2, ratio=0.0605235
1:180123867-180124067	#QSOX1, ratio=0.0605711
2:54683353-54683553	#SPTBN1, ratio=0.0610315
5:139493607-139493807	#PURA, ratio=0.0610383
14:91282661-91282861	#TTC7B, ratio=0.0611818
8:29120510-29120710	#KIF13B, ratio=0.0612764
1:154531020-154531220	#UBE2Q1, ratio=0.0613735
17:56065515-56065715	#VEZF1, ratio=0.0616597
7:105029241-105029441	#SRPK2, ratio=0.0617552
7:73498006-73498206	#LIMK1, ratio=0.0617679
7:150783725-150783925	#AGAP3, ratio=0.0617987
9:14313945-14314145	#NFIB, ratio=0.0622035
3:25824889-25825089	#NGLY1, ratio=0.0622731
14:103058895-103059095	#RCOR1, ratio=0.0623098
1:1950667-1950867	#GABRD, ratio=0.0623305
X:11776177-11776377	#MSL3, ratio=0.0624168
11:289037-289237	#ATHL1, ratio=0.0626146
4:99182426-99182626	#RAP1GDS1, ratio=0.0626874
16:67062949-67063149	#CBFB, ratio=0.0628621
5:178772331-178772531	#ADAMTS2, ratio=0.0634058
19:45754415-45754615	#MARK4, ratio=0.0634585
19:344691-344891	#MIER2, ratio=0.0636724
20:35089741-35089941	#DLGAP4, ratio=0.063722
22:46546398-46546598	#PPARA, ratio=0.0637686
13:77460440-77460640	#KCTD12, ratio=0.0638347
17:77751876-77752076	#CBX2, ratio=0.0638478
14:105992852-105993052	#TMEM121, ratio=0.0641162
8:144241953-144242153	#LY6H, ratio=0.064126
16:84682030-84682230	#KLHL36, ratio=0.0644311
1:19811966-19812166	#CAPZB, ratio=0.0644505
11:67183048-67183248	#CARNS1, ratio=0.0645288
12:131323719-131323919	#STX2, ratio=0.0646432
19:47734351-47734551	#BBC3, ratio=0.0647195
2:64681226-64681426	#LGALSL, ratio=0.0647674
1:179198719-179198919	#ABL2, ratio=0.0650122
12:111126862-111127062	#HVCN1, ratio=0.0651026
14:102228034-102228234	#PPP2R5C, ratio=0.0656134
22:43583037-43583237	#TTLL12, ratio=0.0658364
8:22457013-22457213	#C8orf58, ratio=0.065857
7:32931368-32931568	#KBTBD2, ratio=0.0658977
17:76778276-76778476	#CYTH1, ratio=0.0661803
21:47649057-47649257	#MCM3AP-AS1, ratio=0.0662759
14:105444594-105444794	#AHNAK2, ratio=0.066352
3:128840547-128840747	#RAB43, ratio=0.0667369
19:2721290-2721490	#DIRAS1, ratio=0.0668788
15:85923770-85923970	#AKAP13, ratio=0.0669358
1:6295944-6296144	#ICMT, ratio=0.0671572
2:238536123-238536323	#LRRFIP1, ratio=0.0671607
8:143751301-143751501	#JRK, ratio=0.0673645
21:46962285-46962485	#SLC19A1, ratio=0.0674073
17:48503418-48503618	#ACSF2, ratio=0.0677992
1:228604483-228604683	#TRIM17, ratio=0.0678712
19:15218113-15218313	#SYDE1, ratio=0.0678713
10:120863510-120863710	#FAM45A, ratio=0.0681498
1:22469419-22469619	#WNT4, ratio=0.0681507
X:151306950-151307150	#MAGEA10-MAGEA5, ratio=0.068299
X:151306950-151307150	#MAGEA10, ratio=0.068299
3:16646197-16646397	#DAZL, ratio=0.0685369
10:62761098-62761298	#RHOBTB1, ratio=0.0688985
11:67056715-67056915	#ANKRD13D, ratio=0.0690095
10:126849003-126849203	#CTBP2, ratio=0.0693202
3:71774426-71774626	#EIF4E3, ratio=0.0693367
16:3930021-3930221	#CREBBP, ratio=0.0697472
22:51112969-51113169	#SHANK3, ratio=0.0698363
1:236849669-236849869	#ACTN2, ratio=0.0699843
18:77160225-77160425	#NFATC1, ratio=0.0700531
12:57400197-57400397	#ZBTB39, ratio=0.0701208
12:25403754-25403954	#KRAS, ratio=0.0701485
11:109292745-109292945	#C11orf87, ratio=0.0701517
12:99288574-99288774	#ANKS1B, ratio=0.0702093
3:52443909-52444109	#BAP1, ratio=0.0703025
21:40720947-40721147	#HMGN1, ratio=0.070321
20:62205492-62205692	#PRIC285, ratio=0.0703333
16:31021729-31021929	#STX1B, ratio=0.0704562
3:183979151-183979351	#CAMK2N2, ratio=0.0706741
11:64949203-64949403	#CAPN1, ratio=0.0707489
14:70078209-70078409	#KIAA0247, ratio=0.0710503
19:55866082-55866282	#COX6B2, ratio=0.0712672
17:16395380-16395580	#FAM211A, ratio=0.0713288
10:81585557-81585757	#LOC642361, ratio=0.0713771
7:73703704-73703904	#CLIP2, ratio=0.071496
4:1873022-1873222	#WHSC1, ratio=0.0715862
17:46655643-46655843	#HOXB4, ratio=0.0716105
1:115632021-115632221	#TSPAN2, ratio=0.0716299
2:85198130-85198330	#KCMF1, ratio=0.0720319
3:50540792-50540992	#CACNA2D2, ratio=0.0720728
4:25864510-25864710	#SEL1L3, ratio=0.0720974
2:220252562-220252762	#DNPEP, ratio=0.0721112
12:54402789-54402989	#HOXC8, ratio=0.0725149
4:25032314-25032514	#LGI2, ratio=0.072637
16:68119168-68119368	#NFATC3, ratio=0.0726397
9:36401095-36401295	#RNF38, ratio=0.0727777
14:105647560-105647760	#NUDT14, ratio=0.0727994
10:181323-181523	#ZMYND11, ratio=0.0729464
11:507183-507383	#RNH1, ratio=0.072983
1:227916139-227916339	#LOC100130093, ratio=0.0729994
19:3225382-3225582	#CELF5, ratio=0.073038
3:12329248-12329448	#PPARG, ratio=0.0731822
11:32914691-32914891	#QSER1, ratio=0.0734384
3:135684414-135684614	#PPP2R3A, ratio=0.073834
17:36507906-36508106	#SOCS7, ratio=0.0740323
9:136223261-136223461	#SURF1, ratio=0.0740575
10:120863528-120863728	#FAM45B, ratio=0.0740707
6:33378672-33378872	#PHF1, ratio=0.0741286
4:123747762-123747962	#FGF2, ratio=0.0744831
6:17987754-17987954	#KIF13A, ratio=0.0745363
2:25896416-25896616	#DTNB, ratio=0.074606
17:75136904-75137104	#SEC14L1, ratio=0.0755578
1:200992728-200992928	#KIF21B, ratio=0.0756594
15:60884607-60884807	#RORA, ratio=0.0758398
8:133492904-133493104	#KCNQ3, ratio=0.0758814
7:128045924-128046124	#IMPDH1, ratio=0.0759264
15:85291717-85291917	#ZNF592, ratio=0.0759734
17:635746-635946	#FAM57A, ratio=0.0760621
14:95786145-95786345	#CLMN, ratio=0.07614
13:99229296-99229496	#STK24, ratio=0.0761596
6:44238379-44238579	#TMEM151B, ratio=0.0762083
11:67980684-67980884	#SUV420H1, ratio=0.0762318
17:63557640-63557840	#AXIN2, ratio=0.0765418
16:50402745-50402945	#BRD7, ratio=0.0768558
20:43438879-43439079	#RIMS4, ratio=0.0769553
11:832851-833051	#CD151, ratio=0.0769755
21:47648638-47648838	#LSS, ratio=0.0775075
X:135229458-135229658	#FHL1, ratio=0.077537
12:124457661-124457861	#ZNF664, ratio=0.0775999
12:124457661-124457861	#ZNF664-FAM101A, ratio=0.0775999
1:211432607-211432807	#RCOR3, ratio=0.0778934
12:133195302-133195502	#P2RX2, ratio=0.0779051
11:130184507-130184707	#ZBTB44, ratio=0.0780144
8:94929178-94929378	#PDP1, ratio=0.0780249
2:46926248-46926448	#SOCS5, ratio=0.0780643
6:44095275-44095475	#TMEM63B, ratio=0.0782672
7:1570267-1570467	#MAFK, ratio=0.0785015
5:10761287-10761487	#DAP, ratio=0.0786596
12:13153143-13153343	#HEBP1, ratio=0.0787627
21:47517932-47518132	#COL6A2, ratio=0.0789094
1:43282959-43283159	#CCDC23, ratio=0.0790006
4:2794649-2794849	#SH3BP2, ratio=0.0797908
1:36851385-36851585	#STK40, ratio=0.0798047
9:136223320-136223520	#SURF2, ratio=0.079854
6:132129055-132129255	#ENPP1, ratio=0.0799036
10:35625701-35625901	#CCNY, ratio=0.0799267
10:44880445-44880645	#CXCL12, ratio=0.0800043
16:9057241-9057441	#USP7, ratio=0.0802596
3:149688641-149688841	#PFN2, ratio=0.080397
20:4982045-4982245	#SLC23A2, ratio=0.0805961
7:25219717-25219917	#C7orf31, ratio=0.0806858
11:2398446-2398646	#CD81, ratio=0.0807242
1:231004202-231004402	#C1orf198, ratio=0.080873
5:40798197-40798397	#PRKAA1, ratio=0.081043
7:856151-856351	#SUN1, ratio=0.0811575
17:37307802-37308002	#PLXDC1, ratio=0.081239
22:44420056-44420256	#PARVB, ratio=0.0812553
2:39892934-39893134	#TMEM178, ratio=0.081358
1:9648831-9649031	#TMEM201, ratio=0.0813581
4:177713795-177713995	#VEGFC, ratio=0.0816051
21:10990820-10991020	#TPTE, ratio=0.0816092
16:17564638-17564838	#XYLT1, ratio=0.0816809
11:3862113-3862313	#RHOG, ratio=0.0816907
14:34931368-34931568	#SPTSSA, ratio=0.0816939
4:83483026-83483226	#TMEM150C, ratio=0.0817724
5:14871787-14871987	#ANKH, ratio=0.0817736
2:128784769-128784969	#SAP130, ratio=0.0820067
6:52441762-52441962	#TRAM2, ratio=0.0820827
19:55628827-55629027	#PPP1R12C, ratio=0.0822039
15:65067670-65067870	#RBPMS2, ratio=0.082299
16:70472891-70473091	#ST3GAL2, ratio=0.0824839
9:94186044-94186244	#NFIL3, ratio=0.0824873
5:177099178-177099378	#LOC202181, ratio=0.0826398
2:79739959-79740159	#CTNNA2, ratio=0.0826958
1:51984895-51985095	#EPS15, ratio=0.0827436
10:133109884-133110084	#TCERG1L, ratio=0.0827509
17:78009547-78009747	#TBC1D16, ratio=0.0828903
11:65686431-65686631	#C11orf68, ratio=0.083373
16:81478674-81478874	#CMIP, ratio=0.083469
19:1652228-1652428	#TCF3, ratio=0.0835336
22:50247396-50247596	#ZBED4, ratio=0.0836603
10:65281022-65281222	#REEP3, ratio=0.0837565
3:69129424-69129624	#UBA3, ratio=0.08395
20:9819587-9819787	#PAK7, ratio=0.0842005
15:80445132-80445332	#FAH, ratio=0.0843275
X:48693860-48694060	#PCSK1N, ratio=0.084501
4:154387397-154387597	#KIAA0922, ratio=0.0847317
7:158937549-158937749	#VIPR2, ratio=0.0847544
19:38806506-38806706	#YIF1B, ratio=0.0847727
4:16228061-16228261	#TAPT1, ratio=0.0849272
10:73156590-73156790	#CDH23, ratio=0.0850512
7:131241276-131241476	#PODXL, ratio=0.0852459
17:35849850-35850050	#DUSP14, ratio=0.0853339
7:154002246-154002446	#DPP6, ratio=0.0855024
16:55512980-55513180	#MMP2, ratio=0.0860789
20:48184607-48184807	#PTGIS, ratio=0.0862394
6:18264699-18264899	#DEK, ratio=0.0862558
17:7197776-7197976	#YBX2, ratio=0.0863076
15:72612187-72612387	#CELF6, ratio=0.0863673
17:29718541-29718741	#RAB11FIP4, ratio=0.0865401
1:33815399-33815599	#PHC2, ratio=0.0865562
X:154299447-154299647	#MTCP1NB, ratio=0.0866298
X:154299447-154299647	#MTCP1, ratio=0.0866298
X:151903001-151903201	#MAGEA12, ratio=0.0867885
10:134210601-134210801	#PWWP2B, ratio=0.0868441
17:60142543-60142743	#MED13, ratio=0.0871896
15:73976521-73976721	#CD276, ratio=0.0872554
3:141205825-141206025	#RASA2, ratio=0.0873054
9:115095844-115096044	#PTBP3, ratio=0.0874165
1:39325240-39325440	#RRAGC, ratio=0.0875645
8:117886562-117886762	#RAD21-AS1, ratio=0.0876539
9:72287175-72287375	#APBA1, ratio=0.0877092
22:38713313-38713513	#CSNK1E, ratio=0.087829
13:98086374-98086574	#RAP2A, ratio=0.0878325
17:46115052-46115252	#COPZ2, ratio=0.0878602
20:56884670-56884870	#RAB22A, ratio=0.0878805
8:30890677-30890877	#WRN, ratio=0.0881108
8:11058775-11058975	#XKR6, ratio=0.088462
1:156023416-156023616	#UBQLN4, ratio=0.0890403
16:34404662-34404862	#UBE2MP1, ratio=0.0891998
16:11762188-11762388	#SNN, ratio=0.0892368
21:17102395-17102595	#USP25, ratio=0.0893129
8:87354893-87355093	#WWP1, ratio=0.0893734
12:53625940-53626140	#RARG, ratio=0.0894413
14:24867891-24868091	#NYNRIN, ratio=0.0894527
17:36861772-36861972	#MLLT6, ratio=0.089694
12:51663894-51664094	#SMAGP, ratio=0.0897981
16:22019355-22019555	#C16orf52, ratio=0.0898744
10:135186808-135187008	#ECHS1, ratio=0.0899434
7:92465841-92466041	#CDK6, ratio=0.0902028
8:91997385-91997585	#LOC100127983, ratio=0.0903033
8:11725546-11725746	#CTSB, ratio=0.0903867
12:95044224-95044424	#TMCC3, ratio=0.0904103
13:50571042-50571242	#TRIM13, ratio=0.090585
15:65133981-65134181	#PLEKHO2, ratio=0.0906702
3:9439302-9439502	#SETD5, ratio=0.0907198
14:35183661-35183861	#CFL2, ratio=0.0907813
15:90931372-90931572	#IQGAP1, ratio=0.0908573
19:39833007-39833207	#SAMD4B, ratio=0.0908754
11:116968893-116969093	#SIK3, ratio=0.0909989
22:20119263-20119463	#ZDHHC8, ratio=0.0910194
22:45148337-45148537	#ARHGAP8, ratio=0.0912286
6:149639335-149639535	#TAB2, ratio=0.0916041
1:226736400-226736600	#C1orf95, ratio=0.091691
9:139560123-139560323	#EGFL7, ratio=0.092138
14:52118362-52118562	#FRMD6-AS1, ratio=0.0922403
19:6739606-6739806	#TRIP10, ratio=0.092254
12:56583251-56583451	#SMARCC2, ratio=0.0923755
6:109804340-109804540	#ZBTB24, ratio=0.0924896
2:26915480-26915680	#KCNK3, ratio=0.0925868
22:26825179-26825379	#ASPHD2, ratio=0.0926653
4:99916687-99916887	#METAP1, ratio=0.093124
11:62380112-62380312	#ROM1, ratio=0.0931962
8:136469615-136469815	#KHDRBS3, ratio=0.0932358
13:21141107-21141307	#IFT88, ratio=0.0932887
12:124018165-124018365	#RILPL1, ratio=0.0933579
5:17217431-17217631	#LOC285696, ratio=0.0935612
17:80656498-80656698	#RAB40B, ratio=0.0935759
1:26126566-26126766	#SEPN1, ratio=0.0935854
4:39046350-39046550	#KLHL5, ratio=0.0939687
19:51815001-51815201	#IGLON5, ratio=0.0943894
22:50946544-50946744	#NCAPH2, ratio=0.0945315
18:48723951-48724151	#MEX3C, ratio=0.0946504
X:151922264-151922464	#MAGEA2, ratio=0.0947035
7:156685802-156686002	#LMBR1, ratio=0.0948238
7:752061-752261	#PRKAR1B, ratio=0.0951445
7:45039686-45039886	#CCM2, ratio=0.0952113
1:1981808-1982008	#PRKCZ, ratio=0.0952123
17:15466845-15467045	#FAM18B2-CDRT4, ratio=0.0952635
17:15466845-15467045	#FAM18B2, ratio=0.0952635
6:43423186-43423386	#DLK2, ratio=0.0953172
17:78234559-78234759	#RNF213, ratio=0.095732
3:58477722-58477922	#KCTD6, ratio=0.0959809
1:2457935-2458135	#PANK4, ratio=0.0960349
1:24104775-24104975	#PITHD1, ratio=0.0960416
22:36424485-36424685	#RBFOX2, ratio=0.0962419
22:31742149-31742349	#PATZ1, ratio=0.0962544
2:128432664-128432864	#LIMS2, ratio=0.0963833
17:47439376-47439576	#ZNF652, ratio=0.0966378
11:113345901-113346101	#DRD2, ratio=0.0966395
22:29279654-29279854	#ZNRF3, ratio=0.0967966
5:2751669-2751869	#IRX2, ratio=0.0968362
7:158380382-158380582	#PTPRN2, ratio=0.0968819
5:179233287-179233487	#SQSTM1, ratio=0.09689
X:152245858-152246058	#PNMA6A, ratio=0.0970327
2:100106380-100106580	#REV1, ratio=0.0970433
1:42501496-42501696	#HIVEP3, ratio=0.0970838
X:153672372-153672572	#FAM50A, ratio=0.0973895
17:36584619-36584819	#ARHGAP23, ratio=0.0974432
7:2671502-2671702	#TTYH3, ratio=0.0978885
11:117103351-117103551	#RNF214, ratio=0.0979034
18:12947882-12948082	#SEH1L, ratio=0.0979963
11:62380137-62380337	#EML3, ratio=0.0983337
19:10982152-10982352	#CARM1, ratio=0.0983463
20:31071285-31071485	#C20orf112, ratio=0.0984322
16:2076768-2076968	#SLC9A3R2, ratio=0.0984392
1:244998538-244998738	#COX20, ratio=0.0985159
1:11751680-11751880	#C1orf187, ratio=0.0985648
7:103629863-103630063	#RELN, ratio=0.0985938
20:42295608-42295808	#MYBL2, ratio=0.0986601
17:2496822-2497022	#PAFAH1B1, ratio=0.0986845
14:105635061-105635261	#JAG2, ratio=0.0987284
19:2702646-2702846	#GNG7, ratio=0.0989639
2:10588353-10588553	#ODC1, ratio=0.0989996
9:103189610-103189810	#C9orf30, ratio=0.099072
16:2723340-2723540	#ERVK13-1, ratio=0.0993217
17:41177157-41177357	#RND2, ratio=0.0994512
1:93426979-93427179	#FAM69A, ratio=0.0996911
4:110651142-110651342	#PLA2G12A, ratio=0.0998136
1:210111418-210111618	#SYT14, ratio=0.100013
20:49547427-49547627	#ADNP, ratio=0.100037
18:9334664-9334864	#TWSG1, ratio=0.100293
7:89748613-89748813	#DPY19L2P4, ratio=0.100296
8:145690931-145691131	#CYHR1, ratio=0.100412
6:4776579-4776779	#CDYL, ratio=0.100452
15:30114606-30114806	#TJP1, ratio=0.100511
5:79551798-79551998	#SERINC5, ratio=0.100544
16:66638533-66638733	#CMTM3, ratio=0.100641
6:160390030-160390230	#IGF2R, ratio=0.100661
9:129622843-129623043	#ZBTB34, ratio=0.101075
20:30555704-30555904	#XKR7, ratio=0.101304
9:139221831-139222031	#GPSM1, ratio=0.10134
9:112082921-112083121	#EPB41L4B, ratio=0.101491
12:12715348-12715548	#DUSP16, ratio=0.101494
9:136890460-136890660	#LINC00094, ratio=0.101737
3:71633040-71633240	#FOXP1, ratio=0.101878
16:49315642-49315842	#CBLN1, ratio=0.101961
X:117250728-117250928	#KLHL13, ratio=0.102035
17:7382844-7383044	#ZBTB4, ratio=0.102168
12:132568727-132568927	#EP400NL, ratio=0.102174
14:65569127-65569327	#MAX, ratio=0.102198
2:235405593-235405793	#ARL4C, ratio=0.102685
4:53525402-53525602	#USP46, ratio=0.102818
16:2587869-2588069	#PDPK1, ratio=0.103099
17:1388951-1389151	#MYO1C, ratio=0.103248
15:40763059-40763259	#CHST14, ratio=0.103276
8:1921943-1922143	#KBTBD11, ratio=0.103296
1:41707715-41707915	#SCMH1, ratio=0.103313
2:25264872-25265072	#EFR3B, ratio=0.103356
9:131790479-131790679	#SH3GLB2, ratio=0.103388
1:40254433-40254633	#BMP8B, ratio=0.103424
